wavelength,gain_port_1,gain_port_2,gain_port_3,gain_port_4,gain_port_5,gain_port_6,gain_port_7,gain_port_8
1549.2292512495696,-37.47901334410267,-1.4891249526648151,-17.514518566301355,-18.062592722502565,-25.609268381111256,-17.287284661791247,-24.879212292474676,-18.499878431119704
1549.1941692924177,-43.88734888057062,-1.4670636700627062,-17.688279305418767,-18.090396301155057,-25.908726674841272,-17.80180848100016,-25.212814625942066,-18.66032805261326
1549.1590889240763,-55.23168761856021,-1.4584785741527813,-17.81961426770563,-18.075988923564257,-26.023041576362367,-18.127339240655576,-25.359899182219277,-18.63280722261658
1549.1240101444375,-41.80331435908414,-1.4634098104336057,-17.905884512169877,-18.01669327392903,-25.929525094444287,-18.241381642664628,-25.29770552993201,-18.394524021392904
1549.0889329533934,-36.40163193139382,-1.4819174483951516,-17.946697497859088,-17.912078685903644,-25.636986886224996,-18.152926196273597,-25.0349626138592,-17.95417819645897
1549.0538573508359,-33.105104226750505,-1.5140767146467882,-17.943967110390382,-17.764021123494185,-25.1817904039544,-17.898506354304374,-24.607943287839063,-17.348016157077254
1549.0187833366572,-30.746320154600646,-1.5599747347655588,-17.90168112171281,-17.576470597077822,-24.613568858912874,-17.527915366197842,-24.066178623453766,-16.62554581218899
1548.9837109107493,-28.92282781819393,-1.619709285265329,-17.825435178308272,-17.354985109668576,-23.980703228035807,-17.089685085478067,-23.457934245350312,-15.835013511430422
1548.9486400730048,-27.44833319459342,-1.693389823795573,-17.721843558835232,-17.106141374328484,-23.32213530553663,-16.622899744347105,-22.822021718327154,-15.015216124293797
1548.9135708233152,-26.221362463528493,-1.7811407952568536,-17.59794646139062,-16.836942062864953,-22.66550612625991,-16.15533503112945,-22.185935332672443,-14.193638614908808
1548.878503161573,-25.180572172935243,-1.883106945959324,-17.460706586307094,-16.55431235161465,-22.028729381987855,-15.705032099673293,-21.567423924643258,-13.388026761523502
1548.8434370876705,-24.28608888821954,-1.9994601570644508,-17.31664367834429,-16.26473442815267,-21.42254810648105,-15.282854793258258,-20.977046019368014,-12.608943321429964
1548.8083726014995,-23.510581085374156,-2.1304071641396924,-17.171614263804802,-15.974027194362943,-20.852868034164906,-14.894823493952442,-20.420501708387718,-11.862101068205092
1548.7733097029522,-22.834548127385325,-2.276197481183053,-17.03071621324948,-15.687250796541683,-20.322514497061135,-14.543872467164302,-19.900388130354596,-11.150119585771051
1548.7382483919212,-22.243643109815157,-2.437130901181619,-16.898285636227712,-15.408703488867994,-19.832436389616838,-14.231054235683164,-19.417402086330007,-10.473729367734865
1548.703188668298,-21.727060053354123,-2.613564093984512,-16.777953031946648,-15.141977754157129,-19.3824879844983,-13.956321770279096,-18.971120574665484,-9.832554025052952
1548.6681305319753,-21.276515171317996,-2.8059160477360523,-16.67273128082718,-14.890048266821927,-18.971918763053644,-13.719018664116401,-18.560489414314013,-9.225600789560461
1548.6330739828452,-20.885577627909658,-3.0146723745341175,-16.585115748117154,-14.655371969185056,-18.599671351592324,-13.518177385297896,-18.184120060446848,-8.651559436070947
1548.5980190208,-20.549215263256983,-3.2403887905003765,-16.51718400057112,-14.439987762168215,-18.264557127221295,-13.352695174020077,-17.840464202062375,-8.10897923113854
1548.5629656457315,-20.263477886531266,-3.4836943493723247,-16.47068835758874,-14.245609031742582,-17.965355632240875,-13.221433725853108,-17.527912327299134,-7.5963701110335276
1548.5279138575324,-20.02527196482618,-3.7452952247231464,-16.447138529366008,-14.073706263741052,-17.700867714372112,-13.123272580573966,-17.244846250548342,-7.112258097100464
1548.492863656095,-19.83219834877016,-4.025979976672176,-16.44787416466959,-13.925579569659687,-17.469941528186055,-13.057135353897307,-16.98966485580344,-6.655214212398573
1548.4578150413113,-19.682435194222048,-4.326627297514534,-16.47412859566437,-13.80242241096636,-17.271483425282142,-13.022000841371245,-16.76079526016139,-6.223869106081246
1548.4227680130734,-19.574654626197557,-4.648217219108476,-16.527085774334928,-13.705378516511825,-17.104461010698774,-13.016906273497337,-16.556696927669996,-5.816920908367928
1548.387722571274,-19.5079656697235,-4.991846714253176,-16.607932635123877,-13.635594227790644,-16.967902384257528,-13.040946742147046,-16.37586310481003,-5.433140666443711
1548.352678715805,-19.481851301694725,-5.358716682239859,-16.718229027446988,-13.5944283102987,-16.861188535348578,-13.093524442793349,-16.21722754878164,-5.0714434582383845
1548.3176364465592,-19.496234329143018,-5.750261293091613,-16.85899546015491,-13.58301055885426,-16.78317416843314,-13.17359619859711,-16.078952727771725,-4.730684584903083
1548.2825957634284,-19.5513917149029,-6.168080267901091,-17.031723311212403,-13.602794918956585,-16.73303799076734,-13.280401916765745,-15.959629543098476,-4.409886644609377
1548.2475566663047,-19.647995726813757,-6.614013890582651,-17.238122879173886,-13.655449561051764,-16.70999828343039,-13.413217934517657,-15.857897099359217,-4.1081681777001515
1548.2125191550813,-19.787145272930054,-7.090197750803253,-17.480178085061567,-13.742915850720722,-16.713284613847236,-13.571330010593094,-15.772430409000393,-3.824744676053888
1548.17748322965,-19.970414542622564,-7.599130417021706,-17.7602211761504,-13.867483047176904,-16.742107968773105,-13.75400358333389,-15.701937085606053,-3.5589289996595923
1548.142448889903,-20.19992335858589,-8.14375949549062,-18.08102365954992,-14.03187923496116,-16.795618780337072,-13.960441914535357,-15.645151572213344,-3.3101285896385626
1548.107416135733,-20.478435352541577,-8.72759286175698,-18.44591072425232,-14.239385747980766,-16.872850352523365,-14.189729627047484,-15.600827007781803,-3.077839242416575
1548.0723849670323,-20.80949368267733,-9.354845302309249,-18.85890978089862,-14.493985715799088,-16.97264534608432,-14.440759294624891,-15.567725320446034,-2.8616356389291377
1548.037355383693,-21.197609472599343,-10.03063615079868,-19.324949028050483,-14.800562641595626,-17.093563317770553,-14.712139080433657,-15.54460659361249,-2.6611592325438638
1548.0023273856077,-21.64852674536113,-10.761262010102122,-19.850130404511507,-15.165173372208237,-17.233768023905206,-15.002080134641076,-15.530219119602652,-2.476104438780979
1547.967300972669,-22.16960169402755,-11.554582653288278,-20.44211524143041,-15.595433774901819,-17.390894644729855,-15.308263907946753,-15.523291784735004,-2.3062042992541105
1547.9322761447686,-22.770358147613727,-12.420582163029723,-21.11068485369664,-16.101079361480593,-17.561899832930358,-15.627692284801464,-15.522530480683251,-2.151216886088455
1547.8972529017997,-23.463324013474992,-13.37221025174463,-21.86858115717097,-16.694805947581823,-17.74290232477616,-15.956528275077291,-15.526620084879607,-2.0109136592852606
1547.8622312436542,-24.265334184354046,-14.426689381145557,-22.732813043110998,-17.393576079948456,-17.929029657307908,-16.28994280793673,-15.534233191022171,-1.8850707919714782
1547.827211170225,-25.199646257191226,-15.60763413439878,-23.726775047242583,-18.220737770868464,-18.11429788260234,-16.621994519177658,-15.544046215874936,-1.773464158181259
1547.792192681404,-26.299558951505183,-16.948672815630445,-24.88386834657129,-19.209645574817223,-18.291565443408025,-16.94558369662119,-15.554762802553164,-1.6758682718355165
1547.757175777084,-27.615021619959045,-18.500059740912597,-26.25411258288382,-20.410272508549227,-18.452616340259176,-17.252535513855438,-15.56514365138192,-1.592059023999814
1547.7221604571573,-29.225789754023882,-20.341833182866456,-27.917303488480478,-21.902367792768516,-18.588434004512102,-17.533873966999344,-15.574041125137848,-1.5218196439259535
1547.6871467215165,-31.270846596730756,-22.613239130099632,-30.012436469396807,-23.824880573676936,-18.689714302274773,-17.780334939646647,-15.580436295043311,-1.4649489608647006
1547.6521345700542,-34.02626840598833,-25.590598446132873,-32.815573707785134,-26.453827189514204,-18.747622061091235,-17.983122788030645,-15.583475613150368,-1.4212708102095064
1547.6171240026624,-38.17508906311301,-29.957173156962007,-37.009710474797245,-30.472157677442254,-18.754718468250427,-18.134837795428346,-15.58250419436736,-1.3906433344870417
1547.5821150192342,-46.38504991696603,-38.38091778682259,-45.26252652343785,-38.54750739480063,-18.70589666808898,-18.230411823347406,-15.577092814223299,-1.3729669834322433
1547.5471076196616,-48.79492171416998,-41.00080261724337,-47.71270937654776,-40.81852057516943,-18.599103956499704,-18.267830557832642,-15.56705618192517,-1.3681902067674536
1547.5121018038376,-38.99615006401425,-31.408460338960698,-37.95160091237873,-30.87649722772,-18.435648128892858,-18.248439907270637,-15.55246079155317,-1.3763121331131367
1547.4770975716542,-34.408513148785914,-27.02384482526119,-33.398855904358136,-26.14105204336486,-18.219994815508628,-18.176743385716485,-15.53362160417127,-1.3973819040528592
1547.4420949230043,-31.42082244509583,-24.235932807675766,-30.44314322155275,-23.00081602209606,-17.95911769159894,-18.05975236938696,-15.51108785549442,-1.4314947433850174
1547.4070938577804,-29.214794242803293,-22.226596253685816,-28.266017414531444,-20.63730855525348,-17.661587803755914,-17.906075467686055,-15.485619288857112,-1.4787852450832464
1547.372094375875,-27.476268946756353,-20.681833130649252,-26.553110084626287,-18.73615057204243,-17.336691647024317,-17.72505729544192,-15.458226393151975,-1.5394097304836465
1547.3370964771807,-26.051432448991445,-19.447970850926797,-25.15040114268844,-17.14330052455025,-16.99350774757464,-17.52581994866221,-15.430011603144273,-1.6135555724845747
