;thickness(m) = 2.2e-07
mode 0 = TE
mode 1 = TM
;wavelength(m), width(m), curvature(1/m), temperature(K), mode number, neff, ng, loss (dB/m), dispersion(s/m^2)
1.53875e-06, 3.5e-07, 100000, 250, 0, 2.05951, 4.39899, 150.45, -0.00468052
1.5475e-06, 3.5e-07, 100000, 250, 0, 2.04625, 4.38623, 151.18, -0.00504888
1.55625e-06, 3.5e-07, 100000, 250, 0, 2.03305, 4.37248, 151.91, -0.00543138
1.565e-06, 3.5e-07, 100000, 250, 0, 2.01994, 4.35772, 152.64, -0.00582747
1.26e-06, 3.5e-07, 100000, 250, 0, 2.49976, 4.515, 127.2, -0.000299575
1.285e-06, 3.5e-07, 100000, 250, 0, 2.4598, 4.5132, 129.285, -0.000193261
1.31e-06, 3.5e-07, 100000, 250, 0, 2.41986, 4.51188, 131.37, -0.000171124
1.335e-06, 3.5e-07, 100000, 250, 0, 2.37995, 4.5104, 133.456, -0.000235645
1.36e-06, 3.5e-07, 100000, 250, 0, 2.34007, 4.5081, 135.541, -0.000391023
1.53e-06, 4e-07, 100000, 250, 0, 2.24665, 4.36888, 148.813, -0.000744901
1.53875e-06, 4e-07, 100000, 250, 0, 2.23452, 4.36677, 149.539, -0.000863866
1.5475e-06, 4e-07, 100000, 250, 0, 2.2224, 4.36434, 150.264, -0.000991661
1.55625e-06, 4e-07, 100000, 250, 0, 2.2103, 4.36155, 150.989, -0.00112849
1.565e-06, 4e-07, 100000, 250, 0, 2.19821, 4.3584, 151.715, -0.00127452
1.26e-06, 4e-07, 100000, 250, 0, 2.62238, 4.38076, 126.429, -0.000580311
1.285e-06, 4e-07, 100000, 250, 0, 2.58753, 4.37733, 128.502, -0.00034224
1.31e-06, 4e-07, 100000, 250, 0, 2.55273, 4.37548, 130.574, -0.000156471
1.335e-06, 4e-07, 100000, 250, 0, 2.51795, 4.37484, 132.647, -2.0502e-05
1.36e-06, 4e-07, 100000, 250, 0, 2.48318, 4.37503, 134.72, 6.67609e-05
1.53e-06, 4.5e-07, 100000, 250, 0, 2.36703, 4.2706, 147.906, 5.41003e-05
1.53875e-06, 4.5e-07, 100000, 250, 0, 2.35615, 4.2707, 148.627, 2.29349e-05
1.5475e-06, 4.5e-07, 100000, 250, 0, 2.34526, 4.27071, 149.348, -1.28309e-05
1.55625e-06, 4.5e-07, 100000, 250, 0, 2.33437, 4.27063, 150.069, -5.32812e-05
1.565e-06, 4.5e-07, 100000, 250, 0, 2.32349, 4.27042, 150.79, -9.85484e-05
1.26e-06, 4.5e-07, 100000, 250, 0, 2.70283, 4.28273, 125.658, -0.00100119
