.HEADER
..NAMES
wavelength,transmission,transmission,angle,group delay,group velocity,dispersion,loss,gain
..UNITS
m,TE transmission,TE transmission,TE angle (rad),TE group delay (s),TE group velocity (m/s),TE dispersion (s/m),TE loss (dB),TE gain (dB)
..DATATYPES
double,complex,complex,double,double,double,double,double,double
..WAVEFORM_TYPES
,analog,analog,analog,analog,analog,analog,analog,analog
..AXIS_SPACING
linear
..FOLDER_NAME
input_1_mode_1
.DATA
1.499343884491448e-06,0.001303043184429843,0.0006534774960925073,2042.500072543373,2.357263237793991e-11,42422075904.2522,-0.003061044927704908,56.72650389579252,-56.72650389579252
1.499362993811884e-06,0.001436552111991309,0.0001265670094577815,2042.12310263164,2.351102290959469e-11,42533240848.14306,-0.003387057593712967,56.81999062112617,-56.81999062112617
1.499382103619426e-06,0.001369469154502698,-0.0004057690930804781,2041.747169081079,2.344373049796972e-11,42655327405.61926,-0.003655648489098248,56.90349752872248,-56.90349752872248
1.499401213914095e-06,0.001116478780940999,-0.0008716518207645913,2041.372354102795,2.337202411237384e-11,42786195803.6647,-0.003848826277770642,56.97603744800561,-56.97603744800561
1.499420324695908e-06,0.000716278137383579,-0.001210558968385448,2040.998716836244,2.329740244401985e-11,42923240151.03612,-0.003960551221275803,57.03662324115663,-57.03662324115663
1.499439435964885e-06,0.0002254409978018946,-0.00138060419576146,2040.626291499308,2.322137456032556e-11,43063772878.82565,-0.003995789039464382,57.08433233448258,-57.08433233448258
1.499458547721043e-06,-0.0002895720343688185,-0.001362998903697203,2040.255088905935,2.314528625556329e-11,43205341638.82446,-0.003966672146315055,57.11836216167427,-57.11836216167427
1.499477659964403e-06,-0.0007611157765242944,-0.001163413994605196,2039.885100177066,2.307023323542554e-11,43345899011.73813,-0.003887249383990313,57.13806488673265,-57.13806488673265
1.499496772694981e-06,-0.00112870869565376,-0.0008103516594948302,2039.516301038402,2.299707162858882e-11,43483797248.20483,-0.003768550606396208,57.14295746171159,-57.14295746171159
1.499515885912797e-06,-0.001346127218580905,-0.0003509344917431638,2039.148655194711,2.292650570025603e-11,43617636855.52973,-0.003615443826752642,57.13271113639578,-57.13271113639578
1.49953499961787e-06,-0.001386556050116144,0.0001552678511230235,2038.782115818711,2.285921016555233e-11,43746043400.35113,-0.003426158782509067,57.10713066101071,-57.10713066101071
1.499554113810218e-06,-0.001245341717925423,0.0006436084887180262,2038.416625008482,2.279593520840828e-11,43867469829.93486,-0.003194574565720497,57.06613602589119,-57.06613602589119
1.499573228489859e-06,-0.0009401593360348248,0.001052085862443961,2038.052111913282,2.273754782702226e-11,43980116396.34938,-0.00291459562022037,57.00975806196173,-57.00975806196173
1.499592343656813e-06,-0.0005086775182122084,0.001328580615519171,2037.688490866939,2.268498211483418e-11,44082027260.93751,-0.002585304268520901,56.9381539804161,-56.9381539804161
1.499611459311098e-06,-4.05951998284467e-06,0.001436865787923505,2037.325661105844,2.263909966864191e-11,44171367882.84605,-0.002215210596948058,56.85164124912223,-56.85164124912223
1.499630575452733e-06,0.0005111707213058058,0.0013608208545224,2036.963509372544,2.260049325879466e-11,44246821896.72406,-0.001823936868566478,56.75074009444508,-56.75074009444508
1.499649692081735e-06,0.0009722624288267246,0.001106482265367777,2036.601915920892,2.256929383725407e-11,44307987977.42387,-0.001440181328411876,56.63620881474502,-56.63620881474502
1.499668809198125e-06,0.001319699082436397,0.0007017499138883256,2036.240763299906,2.254505341090211e-11,44355627896.4693,-0.001095814981544707,56.50905437491666,-56.50905437491666
